AAC Egypt	HEAR
TIE Ethiopia	HATP
TIF Saudi Arabia	OETF
TIJ Mexico	MMTJ
TIM Indonesia	WABP
TIP Libya	HLLT
TIQ Northern Maria	PGWT
TIS Unknown	NONE
TIU New Zealand	NZTU
TIV Montenegro	LYTV
TIZ Papua New Guin	AYTA
TJA Bolivia	SLTJ
TJM Russian Federa	USTR
TKE Unknown	NONE
TKK Federated Stat	PTKK
TKN Japan	RJKN
TKQ Tanzania	HTKA
TKS Japan	RJOS
TKU Finland	EFTU
TLC Mexico	MMTO
TLH Unknown	NONE
TLL Estonia	EETN
TLN France	LFTH
TLS France	LFBO
TLV Israel	LLBG
TMG Malaysia	WBKM
TMJ Uzbekistan	UTST
TMP Finland	EFTP
TMS Sao Tome and P	FPST
TMT Brazil	SBTB
TMW Australia	YSTW
TNA People's Repub	ZSJN
TNG Morocco	GMTT
TNK Unknown	NONE
TNN Taiwan	RCNN
TNR Madagascar	FMMI
TOB Unknown	NONE
TOG Alaska	PATG
TOL Unknown	NONE
TOS Norway	ENTC
TOY Japan	RJNT
TPA Unknown	NONE
TPE Taiwan	RCTP
TPL Unknown	NONE
TPP Peru	SPST
TPQ Mexico	MMEP
TPR Unknown	NONE
TPS Italy	LICT
TRC Mexico	MMTC
TRD Unknown	NONE
TRE Serbia	LYTR
TRF Norway	ENTO
TRG New Zealand	NZTG
TRI Unknown	NONE
TRK Indonesia	WRLR
TRN Italy	LIMF
TRO Australia	YTRE
TRS Italy	LIPQ
TRU Peru	SPRU
TRV India	VOTV
TRZ India	VOTR
TSA Taiwan	RCSS
TSE Kazakhstan	UACC
TSF Italy	LIPH
TSJ Japan	RJDT
TSM Unknown	NONE
TSN People's Repub	ZBTJ
TSR Romania	LRTR
TSS Unknown	NONE
TST Thailand	VTST
TSV Australia	YBTL
TSZ Mongolia	ZMTG
TTB Italy	LIET
TTE Indonesia	WAMT
TTJ Japan	RJOR
TTN Unknown	NONE
TTT Taiwan	RCFN
TUC Argentina	SANT
TUF France	LFOT
TUG Philippines	RPUT
TUI Saudi Arabia	OETR
TUK Pakistan	OPTU
TUL Unknown	NONE
TUN Tunisia	DTTA
TUO New Zealand	NZAP
TUP Unknown	NONE
TUR Brazil	SBTU
TUS Unknown	NONE
TUU Saudi Arabia	OETB
TVC Unknown	NONE
TVF Unknown	NONE
TVL Unknown	NONE
TVU Fiji	NFNM
TWA Unknown	NONE
TWB Australia	YTWB
TWF Unknown	NONE
TXG Unknown	NONE
TXK Unknown	NONE
TXL Germany	EDDT
TXN People's Repub	ZSTX
TYN People's Repub	ZBYN
TYR Unknown	NONE
TYS Unknown	NONE
TZA Unknown	NONE
TZN Unknown	NONE
TZX Turkey	LTCG
UAK Greenland	BGBW
UAQ Argentina	SANU
UBA Brazil	SBUR
UBJ Japan	RJDC
UBP Thailand	VTUU
UCA Unknown	NONE
UDI Brazil	SBUL
UDJ Ukraine	UKLU
UDR India	VAUD
UEL Mozambique	FQQL
UEO Japan	ROKJ
UET Pakistan	OPQT
UFA Russian Federa	UWUU
UGA Mongolia	ZMBN
UGB Unknown	NONE
UGC Uzbekistan	UTNU
UIB Colombia	SKUI
UIH Vietnam	VVPC
UIN Unknown	NONE
UIO Ecuador	SEQU
UIP France	LFRQ
ULD South Africa	FAUL
ULG Mongolia	ZMUL
ULN Mongolia	ZMUB
ULO Mongolia	ZMUG
ULY Russian Federa	UWLW
ULZ Unknown	NONE
UME Sweden	ESNU
UMR Unknown	NONE
UNA Unknown	NONE
UNI Saint Vincent 	TVSU
UNK Alaska	PAUN
UNR Mongolia	ZMUH
UNT Unknown	NONE
UPG Indonesia	WAAA
UPN Mexico	MMPN
URC People's Repub	ZWWW
URO France	LFOP
URT Thailand	VTSB
URY Saudi Arabia	OEGT
USH Argentina	SAWH
USM Thailand	VTSM
USN South Korea	RKPU
UTH Thailand	VTUD
UTN South Africa	FAUP
UTT South Africa	FAUT
UUD Russian Federa	UIUU
UUN Mongolia	ZMBU
UUS Russian Federa	UHSS
UVF Saint Lucia	TLPL
VAA Finland	EFVA
VAI Papua New Guin	AYVN
VAK Alaska	PAVA
VAN Turkey	LTCI
VAR Bulgaria	LBWN
VAS Turkey	LTAR
VAV Tonga	NFTV
VBS Italy	LIPO
VBY Sweden	ESSV
VCE Italy	LIPZ
VCP Brazil	SBKP
VCT Unknown	NONE
VDA Israel	LLOV
VDC Brazil	SBQV
VDM Argentina	SAVV
VDS Norway	ENVR
VDZ Alaska	PAVD
VER Mexico	MMVR
VEY Unknown	NONE
VFA Zimbabwe	FVFA
VGO Spain	LEVX
VGT Unknown	NONE
VHM Sweden	ESNV
VHY France	LFLV
VIE Austria	LOWW
VII Vietnam	VVVH
VIJ British Virgin	TUPW
VIL Western Sahara	GSVO
VIS Unknown	NONE
VIT Spain	LEVT
VIX Brazil	SBVT
VKG Vietnam	VVRG
VKO Russian Federa	UUWW
VLC Spain	LEVC
VLD Unknown	NONE
VLG Argentina	SAZV
VLI Vanuatu	NVVV
VLL Spain	LEVD
VLN Venezuela	SVVA
VNA Laos	VLSV
VNO Lithuania	EYVI
VNS India	VIBN
VOG Russian Federa	URWW
VPS Unknown	NONE
VQS Puerto Rico	TJVQ
VRA Cuba	MUVR
VRB Unknown	NONE
VRK Finland	EFVR
VRN Italy	LIPX
VSA Mexico	MMVA
VSG Ukraine	UKCW
VST Sweden	ESOW
VTE Laos	VLVT
VTZ India	VEVZ
VUP Colombia	SKVP
VVI Bolivia	SLVR
VVO Russian Federa	UHWW
VXO Sweden	ESMX
WAE Unknown	NONE
WAG New Zealand	NZWU
WAT Ireland	EIWF
WAW Poland	EPWA
WBU Unknown	NONE
WDG Unknown	NONE
WDH Namibia	FYWH
WEI Australia	YBWP
WGA Australia	YSWG
WGE Australia	YWLG
WHK New Zealand	NZWK
WIC United Kingdom	EGPC
WIL Kenya	HKNW
WIN Australia	YWTN
WJU South Korea	RKNW
WKA New Zealand	NZWF
WKJ Japan	RJCW
WKK Unknown	NONE
WLG New Zealand	NZWN
WMH United States	KBPK
WNA Alaska	PANA
WNP Philippines	RPUN
WNZ People's Repub	ZSWZ
WRE New Zealand	NZWR
WRG Alaska	PAWG
WRI Unknown	NONE
WRL Unknown	NONE
WRO Poland	EPWR
WSN Alaska	PFWS
WST Ireland	EIWT
WSX Unknown	NONE
WSZ New Zealand	NZWS
WTL Unknown	NONE
WUH People's Repub	ZHHH
WUS People's Repub	ZSWY
WVB Namibia	FYWB
WWK Papua New Guin	AYWK
WWT Alaska	PAEW
WXN Unknown	NONE
WYA Australia	YWHA
WYS Unknown	NONE
XAP Brazil	SBCH
XAW Unknown	NONE
XAZ Unknown	NONE
XBR Unknown	NONE
XCI Unknown	NONE
XCM Unknown	NONE
XDL Unknown	NONE
XDM Unknown	NONE
XDU Unknown	NONE
XEE Unknown	NONE
XEH Unknown	NONE
XEJ Unknown	NONE
XEK Unknown	NONE
XEL Unknown	NONE
XEM Unknown	NONE
XEY Unknown	NONE
XFD Unknown	NONE
XFE Unknown	NONE
XFG Unknown	NONE
XFL Unknown	NONE
XFM Unknown	NONE
XFN People's Repub	ZHXF
XFO Unknown	NONE
XFQ Unknown	NONE
XFS Unknown	NONE
XFV Unknown	NONE
XGJ Unknown	NONE
XGK Unknown	NONE
XGR Canada	CYLU
XGY Unknown	NONE
XHM Unknown	NONE
XHS Unknown	NONE
XIA Unknown	NONE
XIB Unknown	NONE
XID Unknown	NONE
XIL Unknown	NONE
XIM Unknown	NONE
XIO Unknown	NONE
XIP Unknown	NONE
XIY People's Repub	ZLXY
XJL Unknown	NONE
XJQ Unknown	NONE
XKH Laos	VLXK
XLV Unknown	NONE
XLZ Unknown	NONE
XMN People's Repub	ZSAM
XNA France	LFXN
XNN People's Repub	ZLXN
XOK Unknown	NONE
XPB Unknown	NONE
XPN Unknown	NONE
XPX Unknown	NONE
XQP Costa Rica	MRQP
XQU Unknown	NONE
XRP Unknown	NONE
XRY Spain	LEJR
XSC Turks and Caic	MBSC
XTY Unknown	NONE
XUZ People's Repub	ZSXZ
XVV Unknown	NONE
XWY Unknown	NONE
XZB Unknown	NONE
XZC Unknown	NONE
YAI Chile	SCCH
YAK Alaska	PAYA
YAM Canada	CYAM
YAP Federated Stat	PTYA
YAT Canada	CYAT
YAY Canada	CYAY
YAZ Canada	CYAZ
YBA Unknown	NONE
YBB Canada	CYBB
YBC Canada	CYBC
YBG Canada	CYBG
YBL Canada	CYBL
YBP People's Repub	ZUYB
YBR Canada	CYBR
YBW Canada	CYBW
YBX Canada	CYBX
YCA Unknown	NONE
YCB Canada	CYCB
YCC Canada	CYCC
YCD Canada	CYCD
YCG Canada	CYCG
YCM Unknown	NONE
YCO Canada	CYCO
YCY Canada	CYCY
YDF Canada	CYDF
YDI Unknown	NONE
YDN Canada	CYDN
YDQ Canada	CYDQ
YDS Unknown	NONE
YEC Unknown	NONE
YEG Canada	CYEG
YEK Canada	CYEK
YEL Canada	CYEL
YEV Canada	CYEV
YEY Canada	CYEY
YFA Canada	CYFA
YFB Canada	CYFB
YFC Canada	CYFC
YFO Canada	CYFO
YFS Canada	CYFS
YGB Canada	CYGB
YGG Unknown	NONE
YGJ Japan	RJOH
YGK Canada	CYGK
YGL Canada	CYGL
YGN Unknown	NONE
YGO Canada	CYGO
YGP Canada	CYGP
YGR Canada	CYGR
YGT Canada	CYGT
YGW Canada	CYGW
YHB Canada	CYHB
YHD Canada	CYHD
YHH Unknown	NONE
YHI Canada	CYHI
YHK Canada	CYHK
YHM Canada	CYHM
YHN Canada	CYHN
YHR Canada	CYHR
YHU Canada	CYHU
YHY Canada	CYHY
YHZ Canada	CYHZ
YIB Canada	CYIB
YIF Canada	CYIF
YIH People's Repub	ZHYC
YIK Canada	CYIK
YIN People's Repub	ZWYN
YIO Canada	CYIO
YIP United States	KYIP
YIW People's Repub	ZSYW
YJA Unknown	NONE
YJT Canada	CYJT
YKA Canada	CYKA
YKF Canada	CYKF
YKG Canada	CYAS
YKL Canada	CYKL
YKM United States	KYKM
YKQ Canada	CYKQ
YKS Russian Federa	UEEE
YKU Unknown	NONE
YKZ Canada	CYKZ
YLC Canada	CYLC
YLD Canada	CYLD
YLQ Canada	CYLQ
YLW Canada	CYLW
YMM Canada	CYMM
YMO Canada	CYMO
YMP Unknown	NONE
YMQ Unknown	NONE
YMS Peru	SPMS
YMT Canada	CYMT
YMX Canada	CYMX
YNA Canada	CYNA
YNB Saudi Arabia	OEYN
YND Canada	CYND
YNG United States	KYNG
YNJ People's Repub	ZYYJ
YNT People's Repub	ZSYT
YNY South Korea	RKNY
YNZ Unknown	NONE
YOJ Canada	CYOJ
YOO Canada	CYOO
YOP Unknown	NONE
YOW Canada	CYOW
YPA Canada	CYPA
YPE Canada	CYPE
YPF Unknown	NONE
YPH Canada	CYPH
YPJ Canada	CYLA
YPR Canada	CYPR
YPT Unknown	NONE
YPW Canada	CYPW
YPX Unknown	NONE
YPZ Canada	CYPZ
YQB Canada	CYQB
YQC Canada	CYHA
YQD Canada	CYQD
YQG Canada	CYQG
YQH Canada	CYQH
YQI Canada	CYQI
YQK Canada	CYQK
YQL Canada	CYQL
YQM Canada	CYQM
YQQ Canada	CYQQ
YQR Canada	CYQR
YQT Canada	CYQT
YQU Canada	CYQU
YQX Canada	CYQX
YQY Canada	CYQY
YQZ Canada	CYQZ
YRB Canada	CYRB
YRI Canada	CYRI
YRJ Canada	CYRJ
YRL Canada	CYRL
YRR Unknown	NONE
YRT Canada	CYRT
YSB Canada	CYSB
YSF Canada	CYSF
YSH Canada	CYSH
YSJ Canada	CYSJ
YSK Canada	CYSK
YSL Canada	CYSL
YSM Canada	CYSM
YSN Canada	CZAM
YSP Canada	CYSP
YSR Canada	CYSR
YTA Canada	CYTA
YTD Canada	CZLQ
YTE Canada	CYTE
YTG Unknown	NONE
YTH Canada	CYTH
YTQ Canada	CYTQ
YTS Canada	CYTS
YTZ Canada	CYTZ
YUD Canada	CYMU
YUL Canada	CYUL
YUM Unknown	NONE
YUX Canada	CYUX
YUY Canada	CYUY
YVA Comoros	FMCN
YVB Canada	CYVB
YVC Canada	CYVC
YVM Canada	CYVM
YVO Canada	CYVO
YVP Canada	CYVP
YVR Canada	CYVR
YVZ Canada	CYVZ
YWB Unknown	NONE
YWG Canada	CYWG
YWH Canada	CYWH
YWK Canada	CYWK
YWL Canada	CYWL
YWR Unknown	NONE
YWS Unknown	NONE
YXC Canada	CYXC
YXD Canada	CYXD
YXE Canada	CYXE
YXH Canada	CYXH
YXJ Canada	CYXJ
YXL Canada	CYXL
YXP Canada	CYXP
YXS Canada	CYXS
YXT Canada	CYXT
YXU Canada	CYXU
YXX Canada	CYXX
YXY Canada	CYXY
YXZ Canada	CYXZ
YYB Canada	CYYB
YYC Canada	CYYC
YYD Canada	CYYD
YYE Canada	CYYE
YYF Canada	CYYF
YYG Canada	CYYG
YYH Canada	CYYH
YYJ Canada	CYYJ
YYQ Canada	CYYQ
YYR Canada	CYYR
YYT Canada	CYYT
YYU Canada	CYYU
YYY Canada	CYYY
YYZ Canada	CYYZ
YZF Canada	CYZF
YZG Canada	CYZG
YZP Canada	CYZP
YZR Canada	CYZR
YZT Canada	CYZT
YZV Canada	CYZV
ZAD Croatia	LDZD
ZAG Croatia	LDZA
ZAH Iran	OIZH
ZAL Chile	SCVD
ZAM Philippines	RPMZ
ZAT People's Repub	ZPZT
ZAZ Spain	LEZG
ZBF Canada	CZBF
ZBV Unknown	NONE
ZCL Mexico	MMZC
ZCO Chile	SCTC
ZDJ Unknown	NONE
ZGC People's Repub	ZLLL
ZGI Canada	CZGI
ZHA People's Repub	ZGZJ
ZHO Unknown	NONE
ZIH Mexico	MMZH
ZJJ Unknown	NONE
ZKE Canada	CZKE
ZLO Mexico	MMZO
ZNA Unknown	NONE
ZNE Australia	YNWN
ZNZ Tanzania	HTZA
ZOS Chile	SCJO
ZQN New Zealand	NZQN
ZQW Germany	EDRZ
ZRF Unknown	NONE
ZRH Switzerland	LSZH
ZSA Bahamas	MYSM
ZTH Greece	LGZA
ZUH People's Repub	ZGSD
ZVK Laos	VLSK
ZYL Bangladesh	VGSY
512 inputs: 0.036799 seconds
1024 inputs: 0.050735 seconds
2048 inputs: 0.077943 seconds
All inputs (2871): 0.101240 seconds
512 changes: 0.025728 seconds
1024 changes: 0.045586 seconds
2048 changes: 0.082279 seconds
4096 changes: 0.174959 seconds
All changes (5427): 0.222718 seconds
